临时,#genre#
阿里郎Arirang,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/arirang_twn/playlist.m3u8
NATGEOWILD,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Natgeowild/playlist.m3u8
BBCWORLDNEWS,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/bbcnews_twn/playlist.m3u8
CBeebies,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Cbeebies/playlist.m3u8
CNBC,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/cnbc_twn/playlist.m3u8
TLC Asia,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/tlc_twn/playlist.m3u8
BBCLifestyle,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/bbclifestyle_twn/playlist.m3u8
Suria,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Suria/playlist.m3u8
RIA,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Ria_backup/playlist.m3u8
Bernama,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Bernama/playlist.m3u8
Al-Hijrah,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Alhijrah/playlist.m3u8
Oasis,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Oasis/playlist.m3u8
Ceria,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Ceria/playlist.m3u8
Boo,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Boo/playlist.m3u8
Sony,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/SetOne/playlist.m3u8
Supersports 1,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/go_assp1/playlist.m3u8
SPOTV 2,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/go_spotv2/playlist.m3u8
Skysports News,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/tiankongnews/playlist.m3u8
